영업상태명,소재지전체주소,도로명전체주소,사업장명,최종수정시점,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),위생업태명,시도,지역구,주소_매장명
영업/정상,서울특별시 강남구 삼성동 159 코엑스,"서울특별시 강남구 영동대로 513, 코엑스 지하1층 H121호 (삼성동)",무탄 코엑스몰 본점,44988.63728,44990.02918,중국식,205130.5917,445590.0968,중국식,서울특별시,강남구,영동대로 513 무탄 코엑스몰 본점
영업/정상,서울특별시 강남구 역삼동 719-24 역삼역센트럴푸르지오,"서울특별시 강남구 언주로85길 32, 역삼역센트럴푸르지오 지하1층 B105A CA12호 (역삼동)",김미김미,45288.50056,45290.11111,한식,203519.2709,444294.8425,한식,서울특별시,강남구,언주로85길 32 김미김미
영업/정상,서울특별시 강남구 논현동 212-7,"서울특별시 강남구 학동로38길 14, 지상2층 201호 (논현동)",희도,45001.63627,45003.11111,한식,202965.7254,445754.7434,한식,서울특별시,강남구,학동로38길 14 희도
영업/정상,서울특별시 강남구 논현동 95-19,"서울특별시 강남구 선릉로145길 20, 지하1층 (논현동)",무브먼트(MOO.VEMENT),44988.55715,44990.02918,경양식,203273.9747,446571.5605,경양식,서울특별시,강남구,선릉로145길 20 무브먼트(MOO.VEMENT)
영업/정상,서울특별시 강남구 대치동 923-4,"서울특별시 강남구 선릉로68길 20, 지상1층 104호 (대치동)",타코야끼 스토리,44988.52779,44990.02918,일식,204650.8091,444114.7901,일식,서울특별시,강남구,선릉로68길 20 타코야끼 스토리
영업/정상,서울특별시 강남구 대치동 936-29,"서울특별시 강남구 선릉로62길 5, 지상1층 102호 (대치동)",미분당 대치점,44988.47084,44990.02918,한식,204624.6345,443903.5926,한식,서울특별시,강남구,선릉로62길 5 미분당 대치점
영업/정상,서울특별시 강남구 신사동 663-18,"서울특별시 강남구 언주로172길 62, 지상2층 (신사동)",키네(KINE'),44988.44209,44990.02918,경양식,203357.4289,447165.4966,경양식,서울특별시,강남구,언주로172길 62 키네(KINE')
영업/정상,서울특별시 강남구 논현동 144-3,"서울특별시 강남구 학동로2길 31, 지상3층 (논현동)",블랙레이디,44988.43069,44990.02918,기타,201982.3847,445244.5344,기타,서울특별시,강남구,학동로2길 31 블랙레이디
영업/정상,서울특별시 강남구 논현동 144-3,"서울특별시 강남구 학동로2길 31, 지상4층 (논현동)",블랙보드게임카페,44988.42755,44990.02918,기타,201982.3847,445244.5344,기타,서울특별시,강남구,학동로2길 31 블랙보드게임카페
영업/정상,서울특별시 강남구 역삼동 826-37 쌍용플래티넘밸류,"서울특별시 강남구 테헤란로4길 46, 지하1층 비120,비121호 (역삼동, 쌍용플래티넘밸류)",왓쇼이켄,44988.40897,44990.02918,일식,202619.0981,443688.6917,일식,서울특별시,강남구,테헤란로4길 46 왓쇼이켄
영업/정상,서울특별시 강남구 역삼동 648-23 여삼빌딩,"서울특별시 강남구 테헤란로 123, 여삼빌딩 지하1층 12호 (역삼동)",파스타 빌런 역삼점,44998.71167,45000.02868,경양식,202716.535,444150.93,경양식,서울특별시,강남구,테헤란로 123 파스타 빌런 역삼점
영업/정상,서울특별시 강남구 신사동 514,"서울특별시 강남구 강남대로152길 18, 지상1층,지하1층 (신사동)",인쌩맥주 신사역점,44985.58868,44988.11111,호프/통닭,201784.98,446122.4176,호프/통닭,서울특별시,강남구,강남대로152길 18 인쌩맥주 신사역점
영업/정상,서울특별시 강남구 삼성동 159 코엑스,"서울특별시 강남구 영동대로 513, 코엑스 지하1층 에이치120호 (삼성동)",노야,44973.7083,44975.02851,기타,205130.5917,445590.0968,기타,서울특별시,강남구,영동대로 513 노야
영업/정상,서울특별시 강남구 신사동 661-4,"서울특별시 강남구 압구정로54길 4, 지하1층 (신사동)",히메성곽,45314.57313,45316.11111,한식,203421.1941,447275.6545,한식,서울특별시,강남구,압구정로54길 4 히메성곽
영업/정상,서울특별시 강남구 신사동 655-4,"서울특별시 강남구 선릉로155길 13, 지상1층 (신사동)",주창(JOO CHANG),45189.71078,45191.11111,감성주점,203340.2961,447012.6537,감성주점,서울특별시,강남구,선릉로155길 13 주창(JOO CHANG)
영업/정상,서울특별시 강남구 청담동 19-10,"서울특별시 강남구 선릉로148길 48-18, 지상2층 (청담동)",고쿠 청담,44973.62625,44975.02851,일식,203746.0985,446627.1919,일식,서울특별시,강남구,선릉로148길 48-18 고쿠 청담
영업/정상,서울특별시 강남구 논현동 28-20,"서울특별시 강남구 학동로21길 35, 지하1층 (논현동)",투고샐러드 메자닌점,44973.58295,44975.02851,"외국음식전문점(인도,태국등)",202308.4493,445915.3604,"외국음식전문점(인도,태국등)",서울특별시,강남구,학동로21길 35 투고샐러드 메자닌점
