,level_0,영업상태명,소재지전체주소,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),시도,지역구,상세주소,검색여부
87,127,영업/정상,서울특별시 강남구 압구정동 494 갤러리아백화점,"서울특별시 강남구 압구정로 343, 갤러리아백화점 고메이 494 식품관 지하1층 (압구정동)",알로하포케 갤러리아압구정점,"외국음식전문점(인도,태국등)",203470.848439305,447369.579851952,서울특별시,강남구,"압구정로343,",가능
88,128,영업/정상,서울특별시 강남구 대치동 942-3,"서울특별시 강남구 삼성로 436, 지상1층 101호 (대치동)",민 위스키(Min Whiskey),경양식,205021.427708749,444851.260675991,서울특별시,강남구,"삼성로436,",가능
89,129,영업/정상,서울특별시 강남구 역삼동 707-34 한신인터밸리24,"서울특별시 강남구 테헤란로 322, 한신인터밸리24 지하2층 B105호 (역삼동)",불나는 칼국수,한식,204044.789948927,444529.84042741,서울특별시,강남구,"테헤란로322,",가능
90,130,영업/정상,서울특별시 강남구 논현동 183-10,"서울특별시 강남구 강남대로118길 28, 지상1층 (논현동)",카페 바바바(cafe BAVABA),경양식,202200.375287313,444955.562945988,서울특별시,강남구,"강남대로118길28,",가능
91,131,영업/정상,서울특별시 강남구 역삼동 727-14 프라임빌딩,"서울특별시 강남구 논현로 412, 프라임빌딩 지상1층 105호,106호 (역삼동)",옛날그맛 명동칼국수,한식,203390.390363975,443864.765894165,서울특별시,강남구,"논현로412,",가능
92,132,영업/정상,서울특별시 강남구 역삼동 827-3,"서울특별시 강남구 강남대로84길 24-4, 지하1층 (역삼동)",뉴욕바,한식,202635.525941012,443839.93360458,서울특별시,강남구,"강남대로84길24-4,",가능
93,134,영업/정상,서울특별시 강남구 논현동 119 The Pinnacle Gangnam,"서울특별시 강남구 학동로 343, The Pinnacle Gangnam 지하2층 B203호 (논현동)",후토루 강남구청점,일식,203522.611749323,446136.224971923,서울특별시,강남구,"학동로343,",가능
94,135,영업/정상,서울특별시 강남구 청담동 31-12,"서울특별시 강남구 삼성로 725, 신관 지상1층 102호 (청담동)",쉘터에이(Shelter A),기타,204261.009835561,446438.765417965,서울특별시,강남구,"삼성로725,",가능
95,136,영업/정상,서울특별시 강남구 논현동 241-16,"서울특별시 강남구 학동로50길 7, 지상1층 101호,104호 (논현동)",우리 청담점,한식,203472.006113539,446003.98577584,서울특별시,강남구,"학동로50길7,",가능
96,138,영업/정상,서울특별시 강남구 대치동 898,"서울특별시 강남구 선릉로 418, 지상1층 104호 (대치동)",빠리냉삼,한식,204379.602634846,444450.075574017,서울특별시,강남구,"선릉로418,",가능
97,139,영업/정상,서울특별시 강남구 신사동 613-5 캐럴라인타워,"서울특별시 강남구 압구정로32길 11, 지상1층 102호 (신사동)",콜비 에비뉴,기타,202601.216639328,447186.65948325,서울특별시,강남구,"압구정로32길11,",가능
98,141,영업/정상,서울특별시 강남구 신사동 642-2,"서울특별시 강남구 압구정로48길 24, 지하1층 (신사동)",우에다,일식,203174.082198139,447190.787552839,서울특별시,강남구,"압구정로48길24,",가능
99,142,영업/정상,서울특별시 강남구 논현동 221-7 한양수자인 어반게이트,"서울특별시 강남구 봉은사로29길 35, 지하2층 B201호,B202호,B203호 주방22호 (논현동, 한양수자인 어반게이트)",외길곱창 논현점,한식,202894.296172644,445277.723124229,서울특별시,강남구,"봉은사로29길35,",가능
100,143,영업/정상,서울특별시 강남구 신사동 576-3,"서울특별시 강남구 압구정로28길 22-9, 지상2층 (신사동)",신사약방진,한식,202297.481855442,446978.00232723,서울특별시,강남구,"압구정로28길22-9,",가능
101,144,영업/정상,서울특별시 강남구 역삼동 769-1 삼환 아르누보,"서울특별시 강남구 역삼로 204, 삼환 아르누보 지하1층 B07,B08호중 103호 (역삼동)",딩딤1968 역삼점,중국식,203453.074368546,443736.68579228,서울특별시,강남구,"역삼로204,",가능
102,146,영업/정상,서울특별시 강남구 개포동 186-13 메트하임,"서울특별시 강남구 개포로 504, 메트하임 17층 1701호 (개포동)",37.5 시그니처 개포점,패밀리레스트랑,205871.381297709,442986.597126448,서울특별시,강남구,"개포로504,",가능
103,147,영업/정상,서울특별시 강남구 역삼동 831-24 예미프레스티지,"서울특별시 강남구 강남대로78길 12, 예미프레스티지 지상1층 101호 중 102호 (역삼동)",프로티너(PROTEINER) 강남역점,경양식,202614.861589627,443629.023395675,서울특별시,강남구,"강남대로78길12,",가능
104,150,영업/정상,서울특별시 강남구 수서동 461-26,"서울특별시 강남구 광평로 236, 지상1층 (수서동)",추포도,한식,208639.576435953,442619.026655203,서울특별시,강남구,"광평로236,",가능
105,151,영업/정상,서울특별시 강남구 도곡동 452-7 나무빌딩,"서울특별시 강남구 논현로24길 29, 나무빌딩 지상2층 (도곡동)",모던케이(Modern K),한식,203924.230719984,442241.8628479,서울특별시,강남구,"논현로24길29,",가능
106,152,영업/정상,서울특별시 강남구 논현동 160-11 louis(루이스빌딩),"서울특별시 강남구 강남대로122길 31, louis(루이스빌딩) 4층 402호 (논현동)",유사길,기타,202183.147975025,445154.018131195,서울특별시,강남구,"강남대로122길31,",가능
107,153,영업/정상,서울특별시 강남구 삼성동 151-20 연남(Yeon nam)빌딩,"서울특별시 강남구 테헤란로81길 51, 연남(Yeon nam)빌딩 지상1층 (삼성동)",남천1번국밥,한식,204852.022914598,445358.338887869,서울특별시,강남구,"테헤란로81길51,",가능
108,154,영업/정상,서울특별시 강남구 자곡동 636 서강플라자,"서울특별시 강남구 자곡로 114, 서강플라자 지상1층 107호 (자곡동)",쌀어묵공방,분식,208422.856918085,441097.917189004,서울특별시,강남구,"자곡로114,",가능
